,id,created_at,username,location,following,followers,retweetcount,favorite,text
0,1578090822569951248,2022-10-06 18:32:26+00:00,Nancy63161899,Planet Earth,2950,2762,7723,0,RT @TimRyan: My Republican opponent JD Vance just went on Fox News and called me a liar. That's rich coming from the guy who started a fake…
1,1578090803842383877,2022-10-06 18:32:21+00:00,iamforeverblue2,USA,5001,4168,122,0,"RT @TimRyan: As you read this, Donald Trump's MAGA super PAC is dropping an ad blitz to attack me and tear down this campaign. 

He’s doing…"
2,1578090803414433793,2022-10-06 18:32:21+00:00,gotoutoftown,,3090,2380,1127,0,RT @funder: BREAKING: JD Vance caught on undercover cam saying he’d cut education and enviro reg spending if elected. Let’s make this viral…
3,1578090793226600457,2022-10-06 18:32:19+00:00,meandoodle1,,506,353,88,0,"RT @FearlessPAC: JD Vance got caught saying he wants to cut funding for education and the environment. 

Ohioans will cut his chances of wo…"
4,1578090792513462272,2022-10-06 18:32:19+00:00,Carolyn49295412,,317,604,1498,0,RT @DonaldJTrumpJr: So @TimRyan has been running non-stop TV ads lying about JD Vance over the opioid epidemic and this entire time those v…
5,1578090788084490246,2022-10-06 18:32:18+00:00,Upschittscreek1,,14984,13861,88,0,"RT @FearlessPAC: JD Vance got caught saying he wants to cut funding for education and the environment. 

Ohioans will cut his chances of wo…"
6,1578090786125746177,2022-10-06 18:32:17+00:00,chocyellowblack,"Sneads Ferry, NC",673,106,40,0,"RT @raykwong: Nimrod does not adequately describe JD Vance. Ohio voters, you really need to show up in November. 💙"
7,1578090773211668481,2022-10-06 18:32:14+00:00,anotherAKGorman,,738,312,7723,0,RT @TimRyan: My Republican opponent JD Vance just went on Fox News and called me a liar. That's rich coming from the guy who started a fake…
8,1578090734040776713,2022-10-06 18:32:05+00:00,bjcrochet,,3994,6740,425,0,"RT @lawindsor: To tackle the administrative ""Deep State,"" JD Vance told me yesterday that he would cut education, environmental regulation,…"
9,1578090719083888659,2022-10-06 18:32:01+00:00,mscarolynbliss,Florida & Texas,1226,711,122,0,"RT @TimRyan: As you read this, Donald Trump's MAGA super PAC is dropping an ad blitz to attack me and tear down this campaign. 

He’s doing…"
10,1578090709592281088,2022-10-06 18:31:59+00:00,RachelMKinney1,,2891,1477,425,0,"RT @lawindsor: To tackle the administrative ""Deep State,"" JD Vance told me yesterday that he would cut education, environmental regulation,…"
11,1578090688209633281,2022-10-06 18:31:54+00:00,StarkerSusan,,2372,561,7723,0,RT @TimRyan: My Republican opponent JD Vance just went on Fox News and called me a liar. That's rich coming from the guy who started a fake…
12,1578090686360223744,2022-10-06 18:31:53+00:00,humminbirdbaby,"Evergreen, CO",662,245,122,0,"RT @TimRyan: As you read this, Donald Trump's MAGA super PAC is dropping an ad blitz to attack me and tear down this campaign. 

He’s doing…"
13,1578090681452593179,2022-10-06 18:31:52+00:00,UmbertoCiccole1,,937,2012,425,0,"RT @lawindsor: To tackle the administrative ""Deep State,"" JD Vance told me yesterday that he would cut education, environmental regulation,…"
14,1578090678227271681,2022-10-06 18:31:51+00:00,ndesigner,,1604,526,88,0,"RT @FearlessPAC: JD Vance got caught saying he wants to cut funding for education and the environment. 

Ohioans will cut his chances of wo…"
15,1578090674385207296,2022-10-06 18:31:50+00:00,dudesjj55,Washington mo/Eau Claire Wi,4980,2384,122,0,"RT @TimRyan: As you read this, Donald Trump's MAGA super PAC is dropping an ad blitz to attack me and tear down this campaign. 

He’s doing…"
16,1578090668936790045,2022-10-06 18:31:49+00:00,raeraeh1,"Chicago, IL",1989,1614,7723,0,RT @TimRyan: My Republican opponent JD Vance just went on Fox News and called me a liar. That's rich coming from the guy who started a fake…
17,1578090662557368321,2022-10-06 18:31:48+00:00,RoxyMick12,,84,103,88,0,"RT @FearlessPAC: JD Vance got caught saying he wants to cut funding for education and the environment. 

Ohioans will cut his chances of wo…"
18,1578090651836522496,2022-10-06 18:31:45+00:00,Shirley10557485,,21,156,1127,0,RT @funder: BREAKING: JD Vance caught on undercover cam saying he’d cut education and enviro reg spending if elected. Let’s make this viral…
19,1578090641829269504,2022-10-06 18:31:43+00:00,BatmanLegoDC,On Research,2369,2194,1127,0,RT @funder: BREAKING: JD Vance caught on undercover cam saying he’d cut education and enviro reg spending if elected. Let’s make this viral…
20,1578090617967607831,2022-10-06 18:31:37+00:00,jewelsgood1,"Owosso, MI",375,75,88,0,"RT @FearlessPAC: JD Vance got caught saying he wants to cut funding for education and the environment. 

Ohioans will cut his chances of wo…"
21,1578090609977348096,2022-10-06 18:31:35+00:00,McG32940,"California, USA",1421,726,88,0,"RT @FearlessPAC: JD Vance got caught saying he wants to cut funding for education and the environment. 

Ohioans will cut his chances of wo…"
