,id,created_at,username,location,following,followers,retweetcount,favorite,text
0,1578078619058028569,2022-10-06 17:43:56+00:00,alexiscmilleroh,Ohio ,1131,2115,7,0,RT @dchase: .@JDVance1 is an investor in an app that allows investors to buy farmland. He is literally the one selling American farmland fo…
1,1578078093448822796,2022-10-06 17:41:51+00:00,DemioLuke,,224,321,19,0,"RT @PpollingNumbers: 2 New @CenterStreetPAC Senate Polls:

#PASen:
Fetterman (D) 55% 
Oz (R) 36%
(LV, 9/29-9/30)

#OHSen 
Ryan (D) 49%
Vanc…"
2,1578078016105750530,2022-10-06 17:41:32+00:00,teddyshaw81,"Columbus, OH",2743,1510,7,0,RT @dchase: .@JDVance1 is an investor in an app that allows investors to buy farmland. He is literally the one selling American farmland fo…
3,1578077721317589019,2022-10-06 17:40:22+00:00,DavidP_M75,,171,141,32,0,RT @dchase: Mitch McConnell's $33m bailout of @JDVance1 ain't working and @TimRyan has defended his lead with no outside spending from nati…
4,1578077708722094099,2022-10-06 17:40:19+00:00,teddyshaw81,"Columbus, OH",2743,1510,8,0,RT @Cameron_TKeir: .@OHDems in Steubenville this afternoon with @SenSherrodBrown and @SenBobCasey who are reminding Jefferson County why we…
5,1578075993650200576,2022-10-06 17:33:30+00:00,Lamp1952,"Akron, Ohio ",1628,1780,7,0,RT @dchase: .@JDVance1 is an investor in an app that allows investors to buy farmland. He is literally the one selling American farmland fo…
6,1578074635261837312,2022-10-06 17:28:06+00:00,Martswee,,1933,520,7,0,RT @dchase: .@JDVance1 is an investor in an app that allows investors to buy farmland. He is literally the one selling American farmland fo…
7,1578074254809112579,2022-10-06 17:26:36+00:00,readerrevised30,,84,38,32,0,RT @dchase: Mitch McConnell's $33m bailout of @JDVance1 ain't working and @TimRyan has defended his lead with no outside spending from nati…
8,1578074209464586247,2022-10-06 17:26:25+00:00,GartonArthur,Democratic Republic of Norfolk,3363,2240,1,0,"RT @CATargetAlt: NEW FEC F5

$800,000 -&gt; #OHSEN #OH01 #OH13
https://t.co/YJinj0QDIJ https://t.co/tOTaDLeXFr"
9,1578074028887232522,2022-10-06 17:25:42+00:00,Dpete9Peterson,"Decorah, IA",532,166,8,0,"RT @JDVancePress: 🚨@JDVance1 on the trail: ""I'm the law and order candidate. I'm the guy who wants safe and secure street. I think our poli…"
