,id,created_at,username,location,following,followers,retweetcount,favorite,text
0,1578082518196264961,2022-10-06 17:59:26+00:00,DivineDemDiva,"Cincinnati, OH",4996,2113,1421,0,"RT @TimRyan: 🚨 Decision Desk HQ just changed our rating to a TOSS-UP. 🚨

We have what it takes to win this race. But it’s no secret that fa…"
1,1578082168718376960,2022-10-06 17:58:03+00:00,Skrellnik,,284,182,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
2,1578081939747409920,2022-10-06 17:57:08+00:00,DebbieHowes6,"British Columbia, Canada",1340,1033,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
3,1578081704878768129,2022-10-06 17:56:12+00:00,denizprincess,"Concord, CA",652,436,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
4,1578080883378073601,2022-10-06 17:52:56+00:00,PureQuestioner,,88,160,17,0,RT @DermotMCole: .@SenDanSullivan is back home campaigning in Ohio this week in the $100 million Senate race. #aksen #akgov https://t.co/S9…
5,1578080339691380738,2022-10-06 17:50:46+00:00,JohnKel86251324,,434,258,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
6,1578079868180275200,2022-10-06 17:48:54+00:00,TownhallReview,Subcribe to our Podcast ➡️,1895,3339,0,0,"➡️Listen Here: https://t.co/VQJD7uy2Qn as @hughhewitt is joined by @JDVance1 to talk about the Ohio Senate Race

Pr… https://t.co/pSfTdu0Onh"
7,1578079715860045824,2022-10-06 17:48:18+00:00,thebeardofriker,"Ten-forward, usually.",287,131,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
8,1578079471835516930,2022-10-06 17:47:20+00:00,LadyOkorie,,715,237,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
9,1578079117496311809,2022-10-06 17:45:55+00:00,Kattipatt,Asheville ,1053,316,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
10,1578078950403850266,2022-10-06 17:45:15+00:00,davissj,"Nova Scotia, Canada",257,303,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
11,1578078080538759168,2022-10-06 17:41:48+00:00,SdemelioSue,"Cincinnati, OH",876,199,1421,0,"RT @TimRyan: 🚨 Decision Desk HQ just changed our rating to a TOSS-UP. 🚨

We have what it takes to win this race. But it’s no secret that fa…"
12,1578077867690397706,2022-10-06 17:40:57+00:00,andrea30656,"Atlanta, GA",8359,8553,1421,0,"RT @TimRyan: 🚨 Decision Desk HQ just changed our rating to a TOSS-UP. 🚨

We have what it takes to win this race. But it’s no secret that fa…"
13,1578077778326740992,2022-10-06 17:40:36+00:00,CarolOksanen,"Leduc, Alberta",208,622,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
14,1578077735003557889,2022-10-06 17:40:25+00:00,vbgunlt4th,Midwest   Born Dec 21st,2994,1906,0,0,Donald Trump Jr. visits backwoods Ohio to rally GOP voters behind J.D. Vance in Senate race. JD and Jr. have a lot… https://t.co/m1tKTtQU2x
15,1578076273242505226,2022-10-06 17:34:37+00:00,BellaBurdie,,576,362,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
16,1578076204464189441,2022-10-06 17:34:21+00:00,soapdemon34,,124,600,1421,0,"RT @TimRyan: 🚨 Decision Desk HQ just changed our rating to a TOSS-UP. 🚨

We have what it takes to win this race. But it’s no secret that fa…"
17,1578074939470409728,2022-10-06 17:29:19+00:00,MaryAReed,Los Angeles,5957,5423,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
18,1578073274910638088,2022-10-06 17:22:42+00:00,nick41005,"Florence, KY",195,63,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
19,1578073202106023948,2022-10-06 17:22:25+00:00,MichaelIllig2,,51,26,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
20,1578073031376879630,2022-10-06 17:21:44+00:00,Ann67241,,1100,459,1421,0,"RT @TimRyan: 🚨 Decision Desk HQ just changed our rating to a TOSS-UP. 🚨

We have what it takes to win this race. But it’s no secret that fa…"
21,1578072818356559872,2022-10-06 17:20:53+00:00,annekwoodworth,North Alabama,5002,1295,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
22,1578072449454931969,2022-10-06 17:19:25+00:00,MaggieRasmusse2,,1770,1141,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
23,1578071869240086530,2022-10-06 17:17:07+00:00,hermanmanster,atlanta,188,67,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
24,1578071747022274563,2022-10-06 17:16:38+00:00,mikeopseu,niagara region,963,1575,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
25,1578071573793325066,2022-10-06 17:15:57+00:00,kkbarn,,168,85,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
26,1578071226584817664,2022-10-06 17:14:34+00:00,VanWACitizen,,3049,2507,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
27,1578070477754482690,2022-10-06 17:11:35+00:00,sjaneochsner,,97,46,1421,0,"RT @TimRyan: 🚨 Decision Desk HQ just changed our rating to a TOSS-UP. 🚨

We have what it takes to win this race. But it’s no secret that fa…"
28,1578070415884582912,2022-10-06 17:11:20+00:00,nkdorthi1,,192,99,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
29,1578069163897065478,2022-10-06 17:06:22+00:00,grandmalaurie,san luis obispo,715,1286,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
30,1578069119022219266,2022-10-06 17:06:11+00:00,lakers197204,,1363,258,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
31,1578068456435597321,2022-10-06 17:03:33+00:00,johnredmonart,,200,116,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
32,1578068419101999104,2022-10-06 17:03:24+00:00,WritingFactory,"New York, NY",282,6727,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
33,1578068140193624064,2022-10-06 17:02:18+00:00,SteveBu06391612,"Montana, USA",104,8,1421,0,"RT @TimRyan: 🚨 Decision Desk HQ just changed our rating to a TOSS-UP. 🚨

We have what it takes to win this race. But it’s no secret that fa…"
34,1578067925994455042,2022-10-06 17:01:27+00:00,decenthuman99,CT,1419,1009,1421,0,"RT @TimRyan: 🚨 Decision Desk HQ just changed our rating to a TOSS-UP. 🚨

We have what it takes to win this race. But it’s no secret that fa…"
35,1578066584194752512,2022-10-06 16:56:07+00:00,BarbaraLantz12,,4987,1587,1421,0,"RT @TimRyan: 🚨 Decision Desk HQ just changed our rating to a TOSS-UP. 🚨

We have what it takes to win this race. But it’s no secret that fa…"
36,1578066492255604737,2022-10-06 16:55:45+00:00,LoriDeVaney3,,7,0,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
37,1578066255054979072,2022-10-06 16:54:48+00:00,TroyVillalobos,,966,625,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
38,1578065946178211840,2022-10-06 16:53:35+00:00,belinda_haskins,,628,337,1421,0,"RT @TimRyan: 🚨 Decision Desk HQ just changed our rating to a TOSS-UP. 🚨

We have what it takes to win this race. But it’s no secret that fa…"
39,1578065611573248008,2022-10-06 16:52:15+00:00,Susanarosanada2,,1442,2276,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
40,1578065153140183040,2022-10-06 16:50:26+00:00,CrRoman17,"Fort Lauderdale, FL",324,26,1421,0,"RT @TimRyan: 🚨 Decision Desk HQ just changed our rating to a TOSS-UP. 🚨

We have what it takes to win this race. But it’s no secret that fa…"
41,1578064823543218176,2022-10-06 16:49:07+00:00,KathyLCunningh1,California ,95,77,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
42,1578064696867012608,2022-10-06 16:48:37+00:00,laurentanuki,Florida ,149,153,1421,0,"RT @TimRyan: 🚨 Decision Desk HQ just changed our rating to a TOSS-UP. 🚨

We have what it takes to win this race. But it’s no secret that fa…"
43,1578064268338946048,2022-10-06 16:46:55+00:00,ReallyRoderick,Across the street ,1708,370,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
44,1578064263326961666,2022-10-06 16:46:54+00:00,TRWest55,United States,1139,816,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
45,1578063837655625728,2022-10-06 16:45:12+00:00,anchoragepress,"Anchorage, Alaska",584,13602,17,0,RT @DermotMCole: .@SenDanSullivan is back home campaigning in Ohio this week in the $100 million Senate race. #aksen #akgov https://t.co/S9…
46,1578063275593502720,2022-10-06 16:42:58+00:00,Jasonsmithknox,"Knoxville, TN",122,24,19,0,"RT @TheLastWord: Democratic Senate Candidate, Rep. @TimRyan, joins @Lawrence to discuss his race against Trump-backed Republican, author J.…"
47,1578063273827729408,2022-10-06 16:42:58+00:00,EthanAl54146078,,4998,1065,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
48,1578063163370659842,2022-10-06 16:42:31+00:00,nadine_or,Dubai,625,1139,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
49,1578063065152688130,2022-10-06 16:42:08+00:00,Vadersleash,,921,505,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
50,1578062611589091330,2022-10-06 16:40:20+00:00,RosJohnsonLICSW,"Rhode Island, USA",537,361,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
51,1578061505077051394,2022-10-06 16:35:56+00:00,OakCliffITGuy,,235,167,1421,0,"RT @TimRyan: 🚨 Decision Desk HQ just changed our rating to a TOSS-UP. 🚨

We have what it takes to win this race. But it’s no secret that fa…"
52,1578061367747264522,2022-10-06 16:35:23+00:00,jesselizabrown,Virginia,986,709,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
53,1578060532342722565,2022-10-06 16:32:04+00:00,HuskerKO,,521,86,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
54,1578060234341351425,2022-10-06 16:30:53+00:00,micklvscambs,Cambridge,183,61,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
55,1578060004560470019,2022-10-06 16:29:58+00:00,blough43,Smithville,76,84,0,0,"my favorite part about the ohio senate race is that tim ryan went from ""my policy is i hate trump"" to ""umm actually… https://t.co/IsQIXQnlgP"
56,1578059797928083459,2022-10-06 16:29:09+00:00,LucyInSD345,,831,203,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
57,1578059556873244674,2022-10-06 16:28:11+00:00,keroach4,,653,267,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
58,1578058878297821189,2022-10-06 16:25:30+00:00,czuwee,"Plymouth, MI",1205,250,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
59,1578058755572383745,2022-10-06 16:25:00+00:00,af156172,,41,49,1421,0,"RT @TimRyan: 🚨 Decision Desk HQ just changed our rating to a TOSS-UP. 🚨

We have what it takes to win this race. But it’s no secret that fa…"
60,1578058721019953152,2022-10-06 16:24:52+00:00,producechick,,485,273,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
61,1578058562869264384,2022-10-06 16:24:14+00:00,GSwensonSD,,753,896,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
62,1578058547547488256,2022-10-06 16:24:11+00:00,myblz8ch,South Jersey,4984,3251,1421,0,"RT @TimRyan: 🚨 Decision Desk HQ just changed our rating to a TOSS-UP. 🚨

We have what it takes to win this race. But it’s no secret that fa…"
63,1578058461551525889,2022-10-06 16:23:50+00:00,RogueCitizenOne,Northern California,27339,33609,7,0,"RT @PoliticsVerse: Ohio Senate Race: 

Tim Ryan (D) 49% (+11)
J.D. Vance (R) 38%

RETWEET IF YOU SUPPORT TIM RYAN! #VoteBlue"
64,1578057381267009536,2022-10-06 16:19:33+00:00,quietstorm33,"Sammamish, WA",1588,1095,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
65,1578057305257656321,2022-10-06 16:19:15+00:00,debraforreal,"Florida, USA",3195,2505,1421,0,"RT @TimRyan: 🚨 Decision Desk HQ just changed our rating to a TOSS-UP. 🚨

We have what it takes to win this race. But it’s no secret that fa…"
66,1578057246872932353,2022-10-06 16:19:01+00:00,Sharon10941887,,132,47,1400,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
