,id,created_at,username,location,following,followers,retweetcount,favorite,text
0,1577865029373698048,2022-10-06 03:35:12+00:00,rrunner92,"Land of the Free, for Now",51,100,186,0,RT @wsmartin218: 🚨NEW: Tim Ryan took contributions from the giants at the heart of the opioid crisis while voting down bills to help Ohioan…
1,1577864722711560192,2022-10-06 03:33:59+00:00,1Liberty3,"Alabama, USA",924,644,0,0,@timryan had low name ID but he was the most talented person in the dem primary in 2020 imo I supported him for pre… https://t.co/eXFZKGzA85
2,1577864046854000641,2022-10-06 03:31:18+00:00,1Liberty3,"Alabama, USA",924,644,0,0,my top 3 picks for the dem nomination in 2020 were 1 @timryan 2 @joebiden and 3 @VP but biden and harris were a dis… https://t.co/Ph6Wz5mzCu
3,1577863974900613122,2022-10-06 03:31:01+00:00,reuben_vel,The Wild Midwest,1098,246,186,0,RT @wsmartin218: 🚨NEW: Tim Ryan took contributions from the giants at the heart of the opioid crisis while voting down bills to help Ohioan…
4,1577863479284867072,2022-10-06 03:29:03+00:00,1Liberty3,"Alabama, USA",924,644,0,1,i said at the time and stand by my position that @timryan was the most talented person in the 2020 presidential rac… https://t.co/KJ8f8jzhZE
5,1577862556936544256,2022-10-06 03:25:23+00:00,spicychangsauce,"Michigan, USA",4972,929,17,0,"RT @PpollingNumbers: 2 New @CenterStreetPAC Senate Polls:

#PASen:
Fetterman (D) 55% 
Oz (R) 36%
(LV, 9/29-9/30)

#OHSen 
Ryan (D) 49%
Vanc…"
6,1577860964682170369,2022-10-06 03:19:03+00:00,UCRPOhio,"Union County, OH",644,657,13,0,"RT @JDVancePress: WATCH: @JDVance1 slams Tim Ryan's dishonest campaign #OHSen

""He's running an entire campaign of lying to the people of O…"
7,1577860413412331521,2022-10-06 03:16:52+00:00,1Liberty3,"Alabama, USA",924,644,0,0,27k over 20 years AP should be ashamed of themselves for even running this story nothing burger @timryan @jdvance1… https://t.co/nsdhtxaYMP
8,1577859924889112577,2022-10-06 03:14:55+00:00,realmaciej,NYC,3345,460,17,0,"RT @PpollingNumbers: 2 New @CenterStreetPAC Senate Polls:

#PASen:
Fetterman (D) 55% 
Oz (R) 36%
(LV, 9/29-9/30)

#OHSen 
Ryan (D) 49%
Vanc…"
9,1577859571594498050,2022-10-06 03:13:31+00:00,FlossObama,"Washington, DC. ",7530,33588,2,0,"RT @FlossObama: My man, @TimRyan rocking 𝙏𝙃𝙀 Ohio State hoodie on @TheLastWord tonight. 

#OHSen
#TimRyan https://t.co/5OvlyCpnyl"
10,1577859127543570432,2022-10-06 03:11:45+00:00,ThunderGodOfWar,,383,224,17,0,"RT @PpollingNumbers: 2 New @CenterStreetPAC Senate Polls:

#PASen:
Fetterman (D) 55% 
Oz (R) 36%
(LV, 9/29-9/30)

#OHSen 
Ryan (D) 49%
Vanc…"
11,1577859104223150080,2022-10-06 03:11:40+00:00,TaylorPopielarz,NJ/NY ➡️ CT ➡️ IN/MI ➡️ DC,482,8161,0,0,"The opioid epidemic remains a serious crisis in Ohio, so it will be interesting to see what voters make of this… https://t.co/PqaliTbbMS"
12,1577859096933449728,2022-10-06 03:11:38+00:00,TaylorPopielarz,NJ/NY ➡️ CT ➡️ IN/MI ➡️ DC,482,8161,0,0,"The @AP report mentions that throughout the #OHSen race, @TimRyan has criticized @JDVance1 (R) for an opioid-focuse… https://t.co/y4b9wfmZqv"
13,1577859092357472259,2022-10-06 03:11:37+00:00,TaylorPopielarz,NJ/NY ➡️ CT ➡️ IN/MI ➡️ DC,482,8161,0,2,"Lots of chatter tonight about this @AP story on #OHSen candidate @TimRyan (D) and $27,000 in campaign donations he… https://t.co/tKBylULpgk"
14,1577858521240162307,2022-10-06 03:09:21+00:00,BillSprague43,,3154,2071,5,0,RT @wsmartin218: @TimRyan That's rich from the guy who spent years taking blood money from the pill companies and voting against legislatio…
15,1577858084130660352,2022-10-06 03:07:37+00:00,1Liberty3,"Alabama, USA",924,644,0,0,@timryan @Jdvance1 #ohsen https://t.co/RTztnMDNiY
16,1577858015465975808,2022-10-06 03:07:20+00:00,BrendaSteinhof4,,1864,555,2,0,"RT @FlossObama: My man, @TimRyan rocking 𝙏𝙃𝙀 Ohio State hoodie on @TheLastWord tonight. 

#OHSen
#TimRyan https://t.co/5OvlyCpnyl"
17,1577857583825797120,2022-10-06 03:05:37+00:00,bluesfan1994,,2446,1703,186,0,RT @wsmartin218: 🚨NEW: Tim Ryan took contributions from the giants at the heart of the opioid crisis while voting down bills to help Ohioan…
18,1577857149740486657,2022-10-06 03:03:54+00:00,Raymond_LLM,,45128,60358,17,0,"RT @PpollingNumbers: 2 New @CenterStreetPAC Senate Polls:

#PASen:
Fetterman (D) 55% 
Oz (R) 36%
(LV, 9/29-9/30)

#OHSen 
Ryan (D) 49%
Vanc…"
19,1577856897612382208,2022-10-06 03:02:54+00:00,gabrielarmijo,,77,118,17,0,"RT @PpollingNumbers: 2 New @CenterStreetPAC Senate Polls:

#PASen:
Fetterman (D) 55% 
Oz (R) 36%
(LV, 9/29-9/30)

#OHSen 
Ryan (D) 49%
Vanc…"
20,1577855929491537921,2022-10-06 02:59:03+00:00,cpalavicini,"Chandler, AZ",1771,73,17,0,"RT @PpollingNumbers: 2 New @CenterStreetPAC Senate Polls:

#PASen:
Fetterman (D) 55% 
Oz (R) 36%
(LV, 9/29-9/30)

#OHSen 
Ryan (D) 49%
Vanc…"
21,1577855753259737089,2022-10-06 02:58:21+00:00,KensoVoice,,484,230,3,0,"RT @PpollingNumbers: No change in PA poll since last month
2 points shift in #OHSen towards Ryan"
22,1577855711379439621,2022-10-06 02:58:11+00:00,deraeme,"Hatch, NM",1370,735,17,0,"RT @PpollingNumbers: 2 New @CenterStreetPAC Senate Polls:

#PASen:
Fetterman (D) 55% 
Oz (R) 36%
(LV, 9/29-9/30)

#OHSen 
Ryan (D) 49%
Vanc…"
23,1577855639719649280,2022-10-06 02:57:54+00:00,NatsAndCats,Rockville MD / Washington DC,1236,1330,3,0,"RT @PpollingNumbers: No change in PA poll since last month
2 points shift in #OHSen towards Ryan"
24,1577855478293463040,2022-10-06 02:57:15+00:00,it_gxry,,598,106,17,0,"RT @PpollingNumbers: 2 New @CenterStreetPAC Senate Polls:

#PASen:
Fetterman (D) 55% 
Oz (R) 36%
(LV, 9/29-9/30)

#OHSen 
Ryan (D) 49%
Vanc…"
25,1577855474640330752,2022-10-06 02:57:14+00:00,it_gxry,,598,106,3,0,"RT @PpollingNumbers: No change in PA poll since last month
2 points shift in #OHSen towards Ryan"
26,1577855454151163905,2022-10-06 02:57:10+00:00,Wc_420,,1183,535,17,0,"RT @PpollingNumbers: 2 New @CenterStreetPAC Senate Polls:

#PASen:
Fetterman (D) 55% 
Oz (R) 36%
(LV, 9/29-9/30)

#OHSen 
Ryan (D) 49%
Vanc…"
27,1577855348937003008,2022-10-06 02:56:44+00:00,PpollingNumbers,United States,256,232228,3,33,"No change in PA poll since last month
2 points shift in #OHSen towards Ryan"
28,1577855286995468290,2022-10-06 02:56:30+00:00,FlossObama,"Washington, DC. ",7530,33588,2,11,"My man, @TimRyan rocking 𝙏𝙃𝙀 Ohio State hoodie on @TheLastWord tonight. 

#OHSen
#TimRyan https://t.co/5OvlyCpnyl"
29,1577855024650227715,2022-10-06 02:55:27+00:00,victoriaxyz2,,46,4,80,0,RT @JDVancePress: MARION COUNTY - @JDVance1 and @DonaldJTrumpJr spoke with a PACKED HOUSE about what we need to do to take this country bac…
30,1577854991624175616,2022-10-06 02:55:19+00:00,gkgguy,,1974,1190,0,0,In Ohio we want an “ass kicker” NOT an ass kisser @TimRyan @OHDems #Vote #OHSen
31,1577854814494461952,2022-10-06 02:54:37+00:00,RobertGammon,"Oakland, California",3096,4553,17,0,"RT @PpollingNumbers: 2 New @CenterStreetPAC Senate Polls:

#PASen:
Fetterman (D) 55% 
Oz (R) 36%
(LV, 9/29-9/30)

#OHSen 
Ryan (D) 49%
Vanc…"
32,1577854512827621376,2022-10-06 02:53:25+00:00,rushadthomas,"Maryland, USA",4953,2065,17,0,"RT @PpollingNumbers: 2 New @CenterStreetPAC Senate Polls:

#PASen:
Fetterman (D) 55% 
Oz (R) 36%
(LV, 9/29-9/30)

#OHSen 
Ryan (D) 49%
Vanc…"
33,1577854495626825728,2022-10-06 02:53:21+00:00,WasOnceLou,"Boston, MA",4999,4056,17,0,"RT @PpollingNumbers: 2 New @CenterStreetPAC Senate Polls:

#PASen:
Fetterman (D) 55% 
Oz (R) 36%
(LV, 9/29-9/30)

#OHSen 
Ryan (D) 49%
Vanc…"
34,1577854295596273664,2022-10-06 02:52:33+00:00,MTnewguard,,926,507,1,0,RT @The_Jim_Martin: @TimRyan That tweet is rich coming from the guy who accepted campaign donations from pharma companies implicated in the…
35,1577854199714357248,2022-10-06 02:52:10+00:00,CMargaronis,"Scio, OR",17623,22794,17,0,"RT @PpollingNumbers: 2 New @CenterStreetPAC Senate Polls:

#PASen:
Fetterman (D) 55% 
Oz (R) 36%
(LV, 9/29-9/30)

#OHSen 
Ryan (D) 49%
Vanc…"
36,1577854151333126145,2022-10-06 02:51:59+00:00,PpollingNumbers,United States,256,232228,17,176,"2 New @CenterStreetPAC Senate Polls:

#PASen:
Fetterman (D) 55% 
Oz (R) 36%
(LV, 9/29-9/30)

#OHSen 
Ryan (D) 49%
V… https://t.co/KomhJs4oI8"
37,1577853471218405379,2022-10-06 02:49:17+00:00,StevePriestap, Northwest Ohio,496,349,80,0,RT @JDVancePress: MARION COUNTY - @JDVance1 and @DonaldJTrumpJr spoke with a PACKED HOUSE about what we need to do to take this country bac…
38,1577853176937697280,2022-10-06 02:48:07+00:00,Marco_Malo13,,1673,155,13,0,"RT @JDVancePress: WATCH: @JDVance1 slams Tim Ryan's dishonest campaign #OHSen

""He's running an entire campaign of lying to the people of O…"
39,1577852767091163136,2022-10-06 02:46:29+00:00,JimMcNichols1,"Crystal City, Missouri",902,605,13,0,"RT @JDVancePress: WATCH: @JDVance1 slams Tim Ryan's dishonest campaign #OHSen

""He's running an entire campaign of lying to the people of O…"
40,1577852580444643330,2022-10-06 02:45:44+00:00,JeremyTenre,,1260,350,186,0,RT @wsmartin218: 🚨NEW: Tim Ryan took contributions from the giants at the heart of the opioid crisis while voting down bills to help Ohioan…
41,1577852426383724544,2022-10-06 02:45:08+00:00,gadsden_guy,,360,219,13,0,"RT @JDVancePress: WATCH: @JDVance1 slams Tim Ryan's dishonest campaign #OHSen

""He's running an entire campaign of lying to the people of O…"
