,id,created_at,username,location,following,followers,retweetcount,favorite,text
0,1578012217663840267,2022-10-06 13:20:05+00:00,second_nature,Cleveland ,1329,398,0,0,"Gutting. #Localjournalism at its best #JDVance
 https://t.co/L77Jb8Ihdu"
1,1577994555856592897,2022-10-06 12:09:54+00:00,NewsJunkieJo,,794,227,0,0,"And #JDVance peddles his personal philosopjy that women should stay in abusive relationships.
Why does the @GOP hat… https://t.co/LaKV4buMpR"
2,1577927977337339905,2022-10-06 07:45:20+00:00,atheistcritique,,48,127,0,0,"Next month, thousands of Ohioans who are outraged that a politician's son smokes crack will cast their vote for a m… https://t.co/j25LMjvSpB"
3,1577878300604628998,2022-10-06 04:27:57+00:00,islandlife2014,Florida,3996,3072,0,0,"Ohioans no matter the Political Party, how in god’s name can you TRUST #JDVance, when he took money he obtain for a… https://t.co/6q09UnfMXd"
4,1577865083958530051,2022-10-06 03:35:25+00:00,islandlife2014,Florida,3996,3072,0,0,"#JDVance started a non- profit to help the OPIOD EPIDEMIC in OHIO. He did NOTHING, but took the MONEY he collected… https://t.co/ipWuD7XNYH"
5,1577850788923187200,2022-10-06 02:38:37+00:00,PennysPetMom,33950,66,3,0,0,"@FoxNews Is he the Nevada GOP candidate for AG? Perhaps Gov? School board Pres?
 #RepublicanFraudsters… https://t.co/rNs3GK9Mml"
6,1577850683813945344,2022-10-06 02:38:12+00:00,ryanthomas88882,,746,457,1,0,RT @Freedom1796YA: Lying Tim Ryan.  A vote for Tim is a vote for Nancy Pelosi.  Vote #JDVance
7,1577847611842875392,2022-10-06 02:26:00+00:00,Freedom1796YA,"SW OH or SE FL,  USA",360,561,1,2,Lying Tim Ryan.  A vote for Tim is a vote for Nancy Pelosi.  Vote #JDVance https://t.co/ouFjGlfbff
8,1577834962308538369,2022-10-06 01:35:44+00:00,NovemberNicole1,USA,1431,1104,0,0,"Tim Ryan agrees with Joe Biden 100% of the time but won't be caught dead campaigning next to him. 😂 #Hannity

Hey #Ohio vote for #JDVance."
9,1577834455850524672,2022-10-06 01:33:43+00:00,sambell56702967,,125,8,0,0,@TimRyan IS A CROOK.  HE IS NOT FOR THE PEOPLE..HE WILL HURT #OHIO MORE.  VOTE FOR #JDVANCE.  @JDVance1 IS THE ONLY MAN TO VOTE FOR
10,1577787032910405635,2022-10-05 22:25:17+00:00,Yo_Saff,,1879,359,0,0,#JDVance November 8th https://t.co/vvP4qZVoEI
11,1577753474946797570,2022-10-05 20:11:56+00:00,Yo_Saff,,1879,359,0,0,#JDVance https://t.co/xTsY9DsnZS
12,1577718307964190721,2022-10-05 17:52:11+00:00,Faithslayer202,"Covington, Kentucy ",1054,512,0,0,You can't be this inaccurate on polling when you don't account for the many #GOP Voters who wouldn't vote for… https://t.co/H0Ahz9z03i
13,1577712169214525440,2022-10-05 17:27:48+00:00,scarlettbama,"Twitterville, Alabama",2974,1735,0,0,#LetsGo! #BeatMarkKelly #JDVance https://t.co/w6YRhSMsF6
14,1577640762988036096,2022-10-05 12:44:03+00:00,RichardGJP,Japan,968,1089,0,0,#JDVance in #OhioSenate and #BlakeMasters in #ArizonaSenate are 2 of the Tech Billionaire Peter Thiel backed candid… https://t.co/LeFh675xj2
