,id,created_at,username,location,following,followers,retweetcount,favorite,text
0,1577739269040390145,2022-10-05 19:15:29+00:00,Mark_of_Aleks,,417,25,36,0,RT @wsmartin218: 🚨NEW: Tim Ryan took contributions from the giants at the heart of the opioid crisis while voting down bills to help Ohioan…
1,1577738828034760704,2022-10-05 19:13:44+00:00,Covfefe2De,,423,93,36,0,RT @wsmartin218: 🚨NEW: Tim Ryan took contributions from the giants at the heart of the opioid crisis while voting down bills to help Ohioan…
2,1577738701202939906,2022-10-05 19:13:13+00:00,DylanGeneGross2,Lima Ohio ,2220,513,46,0,"RT @chevytothe_levy: NEW in #OHSEN: @TimRyan raised $17.2M in Q3, nearly 2x his last haul.

🔥 105k new grassroots donors
🔥 average online g…"
3,1577738639114702849,2022-10-05 19:12:59+00:00,golf_and_ski07,,148,34,36,0,RT @wsmartin218: 🚨NEW: Tim Ryan took contributions from the giants at the heart of the opioid crisis while voting down bills to help Ohioan…
4,1577738310453235712,2022-10-05 19:11:40+00:00,PolyPoliLive,,34,1143,1,0,"RT @DevonHeinen: JUST IN (#OHsen) via @AP's @jcarrsmyth:

""Drug companies in #OpioidCrisis have donated to #Ohio’s [#TimRyan]""
https://t.co…"
5,1577738130177892352,2022-10-05 19:10:57+00:00,lavenderandmilk,GAE ,280,241,36,0,RT @wsmartin218: 🚨NEW: Tim Ryan took contributions from the giants at the heart of the opioid crisis while voting down bills to help Ohioan…
6,1577737612642717697,2022-10-05 19:08:54+00:00,The_Jim_Martin,,46,68,0,0,"@TimRyan These jobs will end the moment the massive government subsidies do.

EVs work because battery tech is now… https://t.co/AQRc4dmtHn"
7,1577737591700455426,2022-10-05 19:08:49+00:00,DerekNoNumbers,,239,54,36,0,RT @wsmartin218: 🚨NEW: Tim Ryan took contributions from the giants at the heart of the opioid crisis while voting down bills to help Ohioan…
8,1577737442890858499,2022-10-05 19:08:13+00:00,rightiousindgnt,,1874,897,36,0,RT @wsmartin218: 🚨NEW: Tim Ryan took contributions from the giants at the heart of the opioid crisis while voting down bills to help Ohioan…
9,1577737306081198080,2022-10-05 19:07:41+00:00,rhill22733,"Covington, KY",1894,1168,36,0,RT @wsmartin218: 🚨NEW: Tim Ryan took contributions from the giants at the heart of the opioid crisis while voting down bills to help Ohioan…
