,id,created_at,username,location,following,followers,retweetcount,favorite,text
0,1578086799733231619,2022-10-06 18:16:27+00:00,Soon2BPsych3d,,21,22,0,0,@CarltonFisk5 @smchatter1 @umichvoter Not really. Ohio splits tickets on the regular and Ryan is a very strong cand… https://t.co/bqSN1wBUES
1,1578086769806872576,2022-10-06 18:16:20+00:00,MamaDLynn,"Washington, USA",1415,1013,1,0,"RT @TheLastWord: Democratic Senate Candidate, Rep. @TimRyan, joins @Lawrence to discuss his race against Trump-backed Republican, author J.…"
2,1578086689620230146,2022-10-06 18:16:00+00:00,rshebe090,"Fort Worth, Texas",64,64,223,0,"RT @alexbruesewitz: Wow @JDVance1’s far left opponent, @TimRyan, has taken $27k in donations from drug companies involved in creating the o…"
3,1578086671152660480,2022-10-06 18:15:56+00:00,helynosis,,724,601,1407,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
4,1578086454856646662,2022-10-06 18:15:04+00:00,TheLastWord,📺 10PM ET on MSNBC,1520,1101817,1,1,"Democratic Senate Candidate, Rep. @TimRyan, joins @Lawrence to discuss his race against Trump-backed Republican, au… https://t.co/j2xdLkVytp"
5,1578086380059574272,2022-10-06 18:14:47+00:00,wheezyNdahouse,"Berlin, Germany",288,331,1407,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
6,1578086277580193792,2022-10-06 18:14:22+00:00,PoliticsWVIK,Rock Island IL,1024,462,0,0,"I was quoted in this Christian Science Monitor article on the Ohio Senate race, a critical campaign that could deci… https://t.co/Eas4Tomfrq"
7,1578086273859915778,2022-10-06 18:14:21+00:00,jacobel_pamala,"Northfield, MN",45,48,1407,0,RT @AdamParkhomenko: Breaking: @DecisionDeskHQ has moved the Ohio Senate race from Lean Republican to Toss Up. Democrat Tim Ryan continues…
8,1578086234349441024,2022-10-06 18:14:12+00:00,Kathlee84993755,,118,33,223,0,"RT @alexbruesewitz: Wow @JDVance1’s far left opponent, @TimRyan, has taken $27k in donations from drug companies involved in creating the o…"
9,1578086191299428352,2022-10-06 18:14:02+00:00,Aliienman,"Washington, USA",202,85,0,0,@JDVance1 What a disaster of a campaign you have. I feel sorry for republicans with such a weak candidate when ther… https://t.co/SNMtpfmaVN
10,1578086140715876352,2022-10-06 18:13:50+00:00,GusBus_68,,85,37,84,0,"RT @alexbruesewitz: Democrat Senate candidate in Ohio, @TimRyan, has received $27k from opioid manufacturers.

Over 5k Ohioans died last ye…"
11,1578086113339756554,2022-10-06 18:13:43+00:00,waskilywabbitt,,1295,427,204,0,RT @wsmartin218: 🚨NEW: Tim Ryan took contributions from the giants at the heart of the opioid crisis while voting down bills to help Ohioan…
12,1578086081551007744,2022-10-06 18:13:35+00:00,RandyWicke1,,222,262,84,0,"RT @alexbruesewitz: Democrat Senate candidate in Ohio, @TimRyan, has received $27k from opioid manufacturers.

Over 5k Ohioans died last ye…"
